Name,Time,Fine
vishal,2025-06-08 01:06:38.997295,500
vishal,2025-06-08 01:17:17.491279,600
vishal,2025-06-08 01:17:21.683570,700
vishal,2025-06-08 01:17:22.808115,800
vishal,2025-06-08 01:17:23.926793,900
vishal,2025-06-08 01:17:24.970400,1000
vishal,2025-06-08 01:17:26.089293,1100
vishal,2025-06-08 01:17:27.254706,1200
vishal,2025-06-08 01:17:28.365050,1300
vishal,2025-06-08 01:17:29.465447,1400
vishal,2025-06-08 01:17:30.575587,1500
vishal,2025-06-08 01:17:31.705991,1600
vishal,2025-06-08 01:17:32.842298,1700
vishal,2025-06-08 01:17:36.030619,1800
vishal,2025-06-08 01:17:49.540194,1900
vishal,2025-06-08 01:17:50.652303,2000
vishal,2025-06-08 01:17:51.769794,2100
vishal,2025-06-08 01:17:55.655845,2200
vishal,2025-06-08 01:17:56.758554,2300
vishal,2025-06-08 01:17:57.867233,2400
vishal,2025-06-08 01:17:59.370896,2500
vishal,2025-06-08 01:18:00.428427,2600
vishal,2025-06-08 01:18:02.291492,2700
vishal,2025-06-08 01:18:04.876762,2800
vishal,2025-06-08 01:18:11.729097,2900
vishal,2025-06-08 01:18:12.855377,3000
vishal,2025-06-08 01:18:13.977884,3100
vishal,2025-06-08 01:18:15.091964,3200
vishal,2025-06-08 01:18:16.599182,3300
vishal,2025-06-08 01:18:17.678273,3400
vishal,2025-06-08 01:18:21.041255,3500
vishal,2025-06-08 01:18:22.130186,3600
vishal,2025-06-08 01:18:23.237673,3700
vishal,2025-06-08 15:47:34.053865,3800
vishal,2025-06-08 15:47:35.148256,3900
vishal,2025-06-08 15:47:36.251706,4000
vishal,2025-06-08 15:47:37.394463,4100
vishal,2025-06-08 15:47:39.320982,4200
sai ram,2025-06-08 15:47:40.453509,500
sai ram,2025-06-08 15:47:41.523264,600
vishal,2025-06-08 15:47:42.668222,4300
vishal,2025-06-08 15:47:43.798035,4400
vishal,2025-06-08 15:47:44.865762,4500
vishal,2025-06-08 15:47:45.994969,4600
vishal,2025-06-08 15:47:47.134873,4700
vishal,2025-06-08 15:47:48.265243,4800
vishal,2025-06-08 15:47:49.720102,4900
vishal,2025-06-08 15:47:50.778548,5000
vishal,2025-06-08 15:47:51.926365,5100
vishal,2025-06-08 15:47:53.083190,5200
vishal,2025-06-08 15:47:54.219264,5300
vishal,2025-06-08 15:47:55.339112,5400
vishal,2025-06-08 15:47:56.722269,5500
vishal,2025-06-08 15:47:58.283246,5600
vishal,2025-06-08 15:47:59.413625,5700
